Airline,Date_of_Journey,Source,Destination,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Air Asia,2019-03-09,Delhi,Cochin,2025-04-26 20:10:00,2025-03-10 07:10:00,660,1.0,No info,8327
Jet Airways,2019-05-18,Kolkata,Banglore,2025-04-26 17:00:00,2025-04-26 23:35:00,395,1.0,No info,14151
Jet Airways,2019-05-18,Kolkata,Banglore,2025-04-26 08:25:00,2025-04-26 22:35:00,850,1.0,In-flight meal not included,10844
IndiGo,2019-05-15,Delhi,Cochin,2025-04-26 06:40:00,2025-04-26 21:00:00,860,1.0,No info,7191
Jet Airways,2019-05-06,Banglore,Delhi,2025-04-26 08:20:00,2025-04-26 11:20:00,180,0.0,In-flight meal not included,4544
Air India,2019-03-21,Delhi,Cochin,2025-04-26 23:00:00,2025-03-22 19:15:00,1215,1.0,No info,6745
Jet Airways,2019-05-24,Kolkata,Banglore,2025-04-26 06:30:00,2025-05-25 09:20:00,1610,1.0,No info,14178
Multiple carriers Premium economy,2019-03-21,Delhi,Cochin,2025-04-26 06:00:00,2025-04-26 12:35:00,395,1.0,No info,13369
SpiceJet,2019-03-09,Mumbai,Hyderabad,2025-04-26 08:50:00,2025-04-26 10:15:00,85,0.0,No info,5755
Jet Airways,2019-03-03,Delhi,Cochin,2025-04-26 18:15:00,2025-03-04 18:50:00,1475,1.0,No info,17234
Jet Airways,2019-05-24,Mumbai,Hyderabad,2025-04-26 07:05:00,2025-04-26 08:30:00,85,0.0,No info,8040
IndiGo,2019-04-21,Kolkata,Banglore,2025-04-26 21:25:00,2025-04-22 00:05:00,160,0.0,No info,4804
Multiple carriers,2019-03-03,Delhi,Cochin,2025-04-26 08:00:00,2025-04-26 21:00:00,780,1.0,No info,17057
Vistara,2019-05-03,Chennai,Kolkata,2025-04-26 17:45:00,2025-04-26 20:05:00,140,0.0,No info,11982
Jet Airways,2019-06-01,Delhi,Cochin,2025-04-26 21:50:00,2025-06-02 04:25:00,395,1.0,In-flight meal not included,10262
Jet Airways,2019-03-24,Kolkata,Banglore,2025-04-26 19:45:00,2025-03-25 23:25:00,1660,1.0,In-flight meal not included,10031
Jet Airways,2019-04-09,Delhi,Cochin,2025-04-26 11:40:00,2025-04-26 19:00:00,440,2.0,No info,15439
IndiGo,2019-06-12,Kolkata,Banglore,2025-04-26 19:20:00,2025-04-26 23:45:00,265,1.0,No info,3574
Jet Airways,2019-03-27,Delhi,Cochin,2025-04-26 19:10:00,2025-03-29 04:25:00,1995,2.0,In-flight meal not included,6643
Multiple carriers,2019-06-01,Delhi,Cochin,2025-04-26 06:40:00,2025-04-26 19:00:00,740,1.0,No info,11200
Jet Airways,2019-06-09,Kolkata,Banglore,2025-04-26 09:35:00,2025-06-10 09:45:00,1450,1.0,No info,14151
Multiple carriers,2019-06-24,Delhi,Cochin,2025-04-26 07:30:00,2025-04-26 19:00:00,690,1.0,No info,10877
Jet Airways,2019-03-12,Banglore,New Delhi,2025-04-26 22:55:00,2025-03-13 10:25:00,690,1.0,No info,13817
Jet Airways,2019-03-21,Delhi,Cochin,2025-04-26 10:20:00,2025-03-22 18:50:00,1950,2.0,In-flight meal not included,9254
Jet Airways,2019-06-09,Kolkata,Banglore,2025-04-26 18:55:00,2025-06-10 18:15:00,1400,1.0,In-flight meal not included,10844
Jet Airways,2019-05-12,Kolkata,Banglore,2025-04-26 21:10:00,2025-05-13 08:15:00,665,1.0,In-flight meal not included,8586
Jet Airways,2019-03-24,Kolkata,Banglore,2025-04-26 13:55:00,2025-04-26 19:40:00,345,1.0,In-flight meal not included,11134
SpiceJet,2019-04-06,Kolkata,Banglore,2025-04-26 22:20:00,2025-04-07 00:40:00,140,0.0,No info,3873
IndiGo,2019-05-24,Kolkata,Banglore,2025-04-26 15:30:00,2025-04-26 18:05:00,155,0.0,No info,4804
Air India,2019-06-24,Delhi,Cochin,2025-04-26 05:15:00,2025-06-25 07:40:00,1585,3.0,No info,10493
SpiceJet,2019-06-09,Kolkata,Banglore,2025-04-26 06:55:00,2025-04-26 09:30:00,155,0.0,No check-in baggage included,3841
GoAir,2019-03-06,Delhi,Cochin,2025-04-26 14:10:00,2025-04-26 19:20:00,310,1.0,No info,19495
Vistara,2019-04-03,Banglore,Delhi,2025-04-26 11:30:00,2025-04-26 14:20:00,170,0.0,No info,5403
